,dzielnica,powierzchnia,lPokoi,powierzchniaDzialki,rodzajZabudowy,materialBudynku,rokBudowy,stanWykonczenia,okna,rynek,lPieter,cena
0,Dom na sprzedaż mazowieckie Warszawa Wesoła ,320 m²,6,1 000 m²,wolnostojący,cegła,2019,do wykończenia,,wtórny,1 piętro,1 940 000 zł
1,Dom na sprzedaż mazowieckie grodziski Milanówek ,154 m²,5,750 m²,,beton komórkowy,2021,do wykończenia,plastikowe,pierwotny,0,798 700 zł
2,Dom na sprzedaż mazowieckie nowodworski Nowy Dwór Mazowiecki Okunin ,80 m²,3,2 356 m²,wolnostojący,,1950,do remontu,,wtórny,1 piętro,449 000 zł
3,Dom na sprzedaż mazowieckie piaseczyński Nowa Wola ,"152,91 m²",4,220 m²,bliźniak,silikat,2022,do wykończenia,plastikowe,pierwotny,1 piętro,650 000 zł
4,Dom na sprzedaż mazowieckie płocki Słupno ,106 m²,4,960 m²,wolnostojący,pustak,2020,stan surowy otwarty,brak,pierwotny,parterowy,310 000 zł
5,Dom na sprzedaż mazowieckie grodziski Marynin ,160 m²,6,2 500 m²,wolnostojący,,2011,do zamieszkania,plastikowe,wtórny,1 piętro,1 425 000 zł
6,Dom na sprzedaż mazowieckie otwocki Wiązowna ul. Modrzewiowa ,135 m²,4,"190,80 m²",szeregowiec,,2021,do wykończenia,plastikowe,pierwotny,1 piętro,690 000 zł
7,Dom na sprzedaż mazowieckie żyrardowski Józefów ,320 m²,4,1 400 m²,wolnostojący,inne,1989,do zamieszkania,,wtórny,parterowy,1 700 000 zł
8,Dom na sprzedaż mazowieckie Warszawa Włochy Stare Włochy ,266 m²,7,465 m²,bliźniak,cegła,2008,do zamieszkania,plastikowe,wtórny,1 piętro,1 900 000 zł
9,Dom na sprzedaż mazowieckie Warszawa Ursynów ,270 m²,6,900 m²,,cegła,2019,do wykończenia,,pierwotny,0,2 000 000 zł
10,Dom na sprzedaż mazowieckie pruszkowski Kanie ,"204,63 m²",6,545 m²,bliźniak,cegła,2013,do zamieszkania,plastikowe,wtórny,2 piętra,1 350 000 zł
11,Dom na sprzedaż mazowieckie legionowski Ludwinowo Zegrzyńskie ,170 m²,4,530 m²,bliźniak,,2009,do wykończenia,plastikowe,wtórny,1 piętro,370 000 zł
12,Dom na sprzedaż mazowieckie otwocki Józefów ,159 m²,5,450 m²,szeregowiec,inne,2019,stan surowy zamknięty,plastikowe,wtórny,parterowy,950 000 zł
13,Dom na sprzedaż mazowieckie Warszawa Mokotów Sadyba ,240 m²,6,330 m²,bliźniak,,0,do zamieszkania,plastikowe,wtórny,2 piętra,2 069 000 zł
14,Dom na sprzedaż mazowieckie warszawski zachodni Hornówek ,400 m²,7,1 382 m²,,cegła,2011,do zamieszkania,,wtórny,1 piętro,3 500 000 zł
15,Dom na sprzedaż mazowieckie Warszawa Wilanów Zawady Syta ,340 m²,7,850 m²,wolnostojący,cegła,2004,do zamieszkania,,wtórny,2 piętra,3 540 000 zł
16,Dom na sprzedaż mazowieckie Warszawa Białołęka ,"100,17 m²",5,0,,,2021,,,pierwotny,2 piętra,804 014 zł
17,Dom na sprzedaż mazowieckie Warszawa Wawer ,"82,01 m²",4,135 m²,bliźniak,,2022,do wykończenia,plastikowe,pierwotny,1 piętro,726 718 zł
